wals.code	glottocode	name	latitude	longitude	macroarea	genus	family	sample 100	sample 200
irx	iran1263	Iranxe	-13	-58	South America	Iranxe	Iranxe	FALSE	FALSE
cav	cavi1250	Cavineña	-13.33333333	-66.5	South America	Tacanan	Tacanan	FALSE	FALSE
cur	curr1243	Curripaco	2.5	-68.5	South America	Inland Northern Arawakan	Arawakan	FALSE	FALSE
hix	hixk1239	Hixkaryana	-1	-59	South America	Cariban	Cariban	TRUE	TRUE
teh	tehu1242	Tehuelche	-48	-68	South America	Chon Proper	Chon	FALSE	FALSE
baq	baur1253	Baure	-13.08333333	-64.16666667	South America	Bolivia-Parana	Arawakan	FALSE	FALSE
cde	maqu1238	Carib (De'kwana)	5.5	-65	South America	Cariban	Cariban	FALSE	FALSE
urk	urub1250	Urubú-Kaapor	-2.333333333	-46.5	South America	Tupi-Guaraní	Tupian	FALSE	TRUE
max	maxa1247	Maxakalí	-18	-40	South America	Maxakalí	Macro-Ge	FALSE	FALSE
oca	ocai1244	Ocaina	-2.75	-71.75	South America	Huitoto	Huitotoan	FALSE	FALSE
prh	pira1253	Pirahã	-7	-62	South America	Mura	Mura	TRUE	TRUE
amk	amar1274	Amarakaeri	-12.5	-70.5	South America	Harakmbet	Harakmbet	FALSE	FALSE
yrm	yuru1243	Yurimangí	3.833333333	-77	South America	Yurimangí	Yurimangí	FALSE	FALSE
snm	sanu1240	Sanuma	4.5	-64.66666667	South America	Yanomam	Yanomam	TRUE	TRUE
cof	cofa1242	Cofán	0.166666667	-77.16666667	South America	Cofán	Cofán	FALSE	FALSE
chy	chay1248	Chayahuita	-5.5	-77	South America	Cahuapanan	Cahuapanan	FALSE	FALSE
hia	cari1279	Hianacoto	0.833333333	-71	South America	Cariban	Cariban	FALSE	FALSE
pnr	enap1235	Panare	6.5	-66	South America	Cariban	Cariban	FALSE	FALSE
tru	trum1247	Trumai	-11.91666667	-53.58333333	South America	Trumai	Trumai	FALSE	TRUE
ghb	guah1255	Guahibo	5	-69	South America	Guahiban	Guahiban	FALSE	FALSE
cyv	cayu1262	Cayuvava	-13.5	-65.5	South America	Cayuvava	Cayuvava	FALSE	TRUE
wyn	waya1269	Wayana	3.25	-54.16666667	South America	Cariban	Cariban	FALSE	FALSE
tsf	colo1256	Tsafiki	-1	-79.33333333	South America	Barbacoan	Barbacoan	FALSE	FALSE
kri	kari1255	Kipea	-10	-37	South America	Kariri	Kariri	FALSE	FALSE
myr	mats1244	Matsés	-5.416666667	-73.25	South America	Panoan	Panoan	FALSE	FALSE
bti	beto1236	Betoi	7.166666667	-71.25	South America	Betoi	Betoi	FALSE	FALSE
cqt	chiq1248	Chiquitano	-17.5	-60	South America	Chiquito	Chiquito	FALSE	FALSE
cog	cogu1240	Cogui	11	-73.83333333	South America	Arhuacic	Chibchan	FALSE	FALSE
hmb	huam1247	Huambisa	-4	-78	South America	Jivaroan	Jivaroan	FALSE	FALSE
jrn	juru1256	Juruna	-5	-54.5	South America	Tupi-Guaraní	Tupian	FALSE	FALSE
qaw	qawa1238	Qawasqar	-49	-75	South America	Alacalufan	Alacalufan	FALSE	TRUE
yah	yama1264	Yahgan	-55	-68	South America	Yámana	Yámana	FALSE	FALSE
jeb	jebe1250	Jebero	-5.416666667	-76.5	South America	Cahuapanan	Cahuapanan	FALSE	FALSE
crg	east2555	Chiriguano	-23.66666667	-64.33333333	South America	Tupi-Guaraní	Tupian	FALSE	FALSE
gua	para1311	Guaraní	-26	-56	South America	Tupi-Guaraní	Tupian	TRUE	TRUE
bna	jama1261	Banawá	-7	-65	South America	Arauan	Arauan	FALSE	FALSE
sba	sali1298	Sáliba (in Colombia)	6	-70	South America	Sáliba	Sáliban	FALSE	FALSE
awp	awac1239	Awa Pit	1.5	-78.25	South America	Barbacoan	Barbacoan	FALSE	TRUE
tic	ticu1245	Ticuna	-4	-70.5	South America	Ticuna	Ticuna	FALSE	FALSE
ppc	piap1246	Piapoco	4	-69.5	South America	Inland Northern Arawakan	Arawakan	FALSE	FALSE
wai	waiw1244	Wai Wai	1	-59	South America	Cariban	Cariban	FALSE	FALSE
hpd	hupd1244	Hup	0.166666667	-69.25	South America	Nadahup	Nadahup	FALSE	FALSE
amu	yane1238	Amuesha	-10.5	-75.41666667	South America	Yanesha'	Arawakan	FALSE	FALSE
goa	wayu1243	Goajiro	12	-72	South America	Caribbean Arawakan	Arawakan	FALSE	FALSE
ach	ache1246	Aché	-25.25	-55.16666667	South America	Tupi-Guaraní	Tupian	FALSE	FALSE
