"wals.code"	"name"	"value"	"description"	"latitude"	"longitude"	"genus"	"family"	"area"	"macroarea"
"xoo"	"!Xóõ"	3	"Complex tone system"	-24	21.5	"Tu"	"Tu"	"Phonology"	"Africa"
"ani"	"//Ani"	2	"Simple tone system"	-18.9166666667	21.9166666667	"Khoe-Kwadi"	"Khoe-Kwadi"	"Phonology"	"Africa"
"abk"	"Abkhaz"	1	"No tones"	43.0833333333	41	"Northwest Caucasian"	"Northwest Caucasian"	"Phonology"	"Eurasia"
"acm"	"Achumawi"	2	"Simple tone system"	41.5	-121	"Palaihnihan"	"Hokan"	"Phonology"	"North America"
"aco"	"Acoma"	3	"Complex tone system"	34.9166666667	-107.583333333	"Keresan"	"Keresan"	"Phonology"	"North America"
"agh"	"Aghem"	2	"Simple tone system"	6.66666666667	10	"Bantoid"	"Niger-Congo"	"Phonology"	"Africa"
"aht"	"Ahtna"	1	"No tones"	62	-145	"Athapaskan"	"Na-Dene"	"Phonology"	"North America"
"aik"	"Aikaná"	2	"Simple tone system"	-12.6666666667	-60.6666666667	"Aikaná"	"Aikaná"	"Phonology"	"South America"
"ain"	"Ainu"	2	"Simple tone system"	43	143	"Ainu"	"Ainu"	"Phonology"	"Eurasia"
"akn"	"Akan"	2	"Simple tone system"	6.5	-1.25	"Kwa"	"Niger-Congo"	"Phonology"	"Africa"
"akw"	"Akawaio"	1	"No tones"	6	-59.5	"Cariban"	"Cariban"	"Phonology"	"South America"
"ala"	"Alamblak"	1	"No tones"	-4.66666666667	143.333333333	"Sepik Hill"	"Sepik"	"Phonology"	"Papunesia"
"alw"	"Alawa"	1	"No tones"	-15.1666666667	134.25	"Alawa"	"Mangarrayi-Maran"	"Phonology"	"Australia"
"alb"	"Albanian"	1	"No tones"	41	20	"Albanian"	"Indo-European"	"Phonology"	"Eurasia"
"aea"	"Aleut (Eastern)"	1	"No tones"	54.75	-164	"Aleut"	"Eskimo-Aleut"	"Phonology"	"North America"
"ald"	"Alladian"	2	"Simple tone system"	5.16666666667	-4.33333333333	"Kwa"	"Niger-Congo"	"Phonology"	"Africa"
"ame"	"Amele"	1	"No tones"	-5.25	145.583333333	"Madang"	"Trans-New Guinea"	"Phonology"	"Papunesia"
"amh"	"Amharic"	1	"No tones"	10	38	"Semitic"	"Afro-Asiatic"	"Phonology"	"Africa"
"amo"	"Amo"	2	"Simple tone system"	10.3333333333	8.66666666667	"Kainji"	"Niger-Congo"	"Phonology"	"Africa"
"amu"	"Amuesha"	1	"No tones"	-10.5	-75.4166666667	"Yanesha'"	"Arawakan"	"Phonology"	"South America"
"amz"	"Amuzgo"	3	"Complex tone system"	16.8333333333	-98	"Amuzgoan"	"Oto-Manguean"	"Phonology"	"North America"
"adk"	"Andoke"	2	"Simple tone system"	-0.666666666667	-72	"Andoke"	"Andoke"	"Phonology"	"South America"
"ant"	"Angaataha"	2	"Simple tone system"	-7.21666666667	146.25	"Angan"	"Trans-New Guinea"	"Phonology"	"Papunesia"
"anc"	"Angas"	3	"Complex tone system"	9.5	9.5	"West Chadic"	"Afro-Asiatic"	"Phonology"	"Africa"
"ao"	"Ao"	3	"Complex tone system"	26.5833333333	94.6666666667	"Kuki-Chin"	"Sino-Tibetan"	"Phonology"	"Eurasia"
"api"	"Apinayé"	1	"No tones"	-5.5	-48	"Ge-Kaingang"	"Macro-Ge"	"Phonology"	"South America"
"apu"	"Apurinã"	1	"No tones"	-9	-67	"Purus"	"Arawakan"	"Phonology"	"South America"
"arb"	"Arabela"	1	"No tones"	-2	-75.1666666667	"Zaparoan"	"Zaparoan"	"Phonology"	"South America"
"aeg"	"Arabic (Egyptian)"	1	"No tones"	30	31	"Semitic"	"Afro-Asiatic"	"Phonology"	"Africa"
"ana"	"Araona"	1	"No tones"	-12.3333333333	-67.75	"Tacanan"	"Tacanan"	"Phonology"	"South America"
"arp"	"Arapesh (Mountain)"	1	"No tones"	-3.46666666667	143.166666667	"Kombio-Arapesh"	"Torricelli"	"Phonology"	"Papunesia"
"arc"	"Archi"	1	"No tones"	42	46.8333333333	"Lezgic"	"Nakh-Daghestanian"	"Phonology"	"Eurasia"
